HTTPS,Result,Details,UpdatedURL
https://Rrubenesk.anu.edu.aug/student.projects96/anasazi/cliff/stages.html,Failed,Failed to establish a connection,
https://assessments.edisonlearning.com/suite/repository/workspace/System%20Files/20488.gif,Failed,Failed to establish a connection,
https://caola.caiu.org,Success,,
https://docs.google.com/document/edit?id=1cP_R8yncrhLPZD5RJiH-KWaUgDUENxNUVnI5R3rySAY,Redirected,URL should be updated to match Redirected URL,https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://docs.google.com/document/edit?id%3D1cP_R8yncrhLPZD5RJiH-KWaUgDUENxNUVnI5R3rySAY&followup=https://docs.google.com/document/edit?id%3D1cP_R8yncrhLPZD5RJiH-KWaUgDUENxNUVnI5R3rySAY&ltmpl=docs
https://owl.english.purdue.edu/owl/resource/560/01/,Redirected,URL should be updated to match Redirected URL,https://owl.purdue.edu/owl/research_and_citation/apa_style/apa_formatting_and_style_guide/general_format.html
https://portal.provostacademy.com/suite/images/spacer.gif,Failed - https,Failed with https; Successful as http,http://portal.provostacademy.com/suite/images/spacer.gif
https://researchcenter.provostacademy.com,Failed,Failed to establish a connection,
https://search.ebsco.com/,302,"('Found', 'Object moved temporarily -- see URI list')",
https://teachers4ss.schools.com/researchtools/researchstarters/nativeam/,Failed,Failed to establish a connection,
https://translate.google.com/?tr=f,Success,,
https://translate.google.com/?tr=t,Success,,
https://weatherworld.net/thundersnow,Failed,Failed to establish a connection,
https://weatherworld.net/thundersnow .,Failed,Failed to establish a connection,
https://www.acliff4dwellingsmuseum.com/timeline.htm,Failed,Failed to establish a connection,
https://www.americancitizenry.org/population.,Failed,Failed to establish a connection,
https://www.atlantisalmanac.net/archaeological_digs.html,Failed,Failed to establish a connection,
https://www.cbsnews.com/news/nsa-picks-5-universities-to-train-us-cyber-professionals/. Accessed 22 July 2014.,Failed,Failed to establish a connection,
https://www.cousa.blm.govt/ahcbd/,Failed,Failed to establish a connection,
https://www.ed.bios.gov/astronauts.html,Failed,Failed to establish a connection,
https://www.fastfax.com,Failed - https,Failed with https; Successful as http,http://www.fastfax.com
https://www.fastsciencefacts.com/sahara,Failed,Failed to establish a connection,
https://www.huffingtonpost.com/suzanne-leigh/fault-in-our-stars-critic-does-disservice-to-kids-with-cancer_b_5471254.html. Accessed 22 July 2014.,Failed,Failed to establish a connection,
"https://www.huffingtonpost.com/suzanne-leigh/fault-in-our-stars-critic-does-disservice-to-kids-with-cancer_b_5471254.html. Accessed 22, July 2014.",Failed,Failed to establish a connection,
https://www.huffingtonpost.com/suzanne-leigh/fault-in-our-stars-critic-does-disservice-to-kids-with-cancer_b_5471254.html. Accessed July 22 2014.,Failed,Failed to establish a connection,
"https://www.huffingtonpost.com/suzanne-leigh/fault-in-our-stars-critic-does-disservice-to-kids-with-cancer_b_5471254.html. Accessed July 22, 2014.",Failed,Failed to establish a connection,
https://www.imsglobal.org/xsd/imsqti_v2p0,404,"('Not Found', 'Nothing matches the given URI')",
https://www.jessicassaharapage.com,Failed,Failed to establish a connection,
https://www.neriednow.net/gamer_stratguide.html,Failed,Failed to establish a connection,
https://www.nytimes.com,Success,,
https://www.organizetips.com/course2.htm#5ds,Failed - https,Failed with https; Successful as http,http://www.organizetips.com/course2.htm#5ds
https://www.poseidonpals.com/savadolph.html,Failed,Failed to establish a connection,
https://www.presidents.edu/speeches/exhibitions.html,Failed,Failed to establish a connection,
https://www.projectmerc.gov/history/mercury.htm,Failed,Failed to establish a connection,
https://www.provostacademy.com,Failed - https,Failed with https; Successful as http,http://www.provostacademy.com
https://www.saudiarabia.gov/history,Failed,Failed to establish a connection,
https://www.scyllasails.com/boatluvers1stop.html,Failed,Failed to establish a connection,
https://www.sphistory.com/speeches/archives/speech3.html,Failed,Failed to establish a connection,
https://www.sportsoftheglobe/asia/martialarts/about.html,Failed,Failed to establish a connection,
https://www.us_endangered_species.org/crane,Failed,Failed to establish a connection,
https://www.w3.org/TR/REC-html40,Redirected,URL should be updated to match Redirected URL,https://www.w3.org/TR/REC-html40/
https://www.worldweatherwatch.org,Failed,Failed to establish a connection,
